,freq,"bf_ZigZag pattern, 2 mm","bf_Same direction, 2 mm","bf_Same direction, 8 mm"
0,78.3284114,-0.00325192,0.02529347,0.01597672,,,
1,83.2239371,-0.00364554,0.02565848,0.01597266,,,
2,88.1194628,-0.00350039,0.02514444,0.01583345,,,
3,93.0149885,-0.00307226,0.02462491,0.01730777,,,
4,97.9105142,-0.00254284,0.02439783,0.0165485,,,
5,102.80604,-0.00196909,0.02453292,0.01629231,,,
6,107.701566,-0.00136642,0.02505976,0.01558786,,,
7,112.597091,-0.00076386,0.02596611,0.0153379,,,
8,117.492617,-0.000255,0.02709938,0.01464347,,,
9,122.388143,-7.499999999938112e-06,0.02803531,0.01598126,,,
10,127.283668,-0.00012482,0.02821195,0.01644555,,,
11,132.179194,-0.00049805,0.02751251,0.01611034,,,
12,137.07472,-0.00093398,0.0264251,0.01643882,,,
13,141.970246,-0.00131962,0.02548229,0.01507564,,,
14,146.865771,-0.00162859,0.02496965,0.01605313,,,
15,151.761297,-0.00187615,0.02501908,0.01566578,,,
16,156.656823,-0.00208266,0.02570519,0.0164122,,,
17,161.552348,-0.00223598,0.02697851,0.01702104,,,
18,166.447874,-0.0022615,0.0284075,0.01642447,,,
19,171.3434,-0.0021033,0.02920679,0.01657272,,,
20,176.238926,-0.00186208,0.02914037,0.01658713,,,
21,181.134451,-0.00168072,0.02870094,0.01648885,,,
22,186.029977,-0.00159356,0.02820698,0.01706389,,,
23,190.925503,-0.00156507,0.02773655,0.01644912,,,
24,195.821028,-0.00156376,0.02753761,0.01672097,,,
25,200.716554,-0.00157378,0.02793611,0.01670658,,,
26,205.61208,-0.00157289,0.02900642,0.01626983,,,
27,210.507606,-0.00152683,0.03033105,0.01649657,,,
28,215.403131,-0.00144041,0.03101814,0.0161906,,,
29,220.298657,-0.00139596,0.0305238,0.0164946,,,
30,225.194183,-0.00145574,0.0294487,0.0168506,,,
31,230.089708,-0.00157507,0.02876456,0.01593031,,,
32,234.985234,-0.00167288,0.02874965,0.01675867,,,
33,239.88076,-0.00172506,0.02937099,0.01613057,,,
34,244.776286,-0.00171823,0.03094571,0.01650902,,,
35,249.671811,-0.00155855,0.03352117,0.01702512,,,
