,freq,n_s,n_p
0,78328411400.0,1.2110768093425617,1.295175352916079
1,83223937100.0,1.219240677314786,1.3094282052748014
2,88119462800.0,1.21735240286326,1.3044268089924085
3,93014988500.0,1.216859317632534,1.3021014839061402
4,97910514200.0,1.2166276743805584,1.3002659026030277
5,102806040000.0,1.2195130730741515,1.3040820764683085
6,107701566000.0,1.2184659962097988,1.3007169211122913
7,112597091000.0,1.2250741763418151,1.3110126308960066
8,117492617000.0,1.2271011340314077,1.3130014330901691
9,122388143000.0,1.2282767147916287,1.3134031617823227
10,127283668000.0,1.230211584976826,1.3151006371806504
11,132179194000.0,1.2322911079310859,1.3169703654127827
12,137074720000.0,1.2332775744622118,1.316921170748893
13,141970246000.0,1.2346634797303568,1.3175239059350128
14,146865771000.0,1.2357905390729866,1.3176694547289771
15,151761297000.0,1.2385366953694785,1.320452240997317
16,156656823000.0,1.2420404220251458,1.324397425544822
17,161552348000.0,1.2440589981904846,1.3258627412592483
18,166447874000.0,1.2471111479373038,1.328936139530819
19,171343400000.0,1.249779361550811,1.331336591171296
20,176238926000.0,1.2528765284305439,1.3343553309034186
21,181134451000.0,1.255899629162081,1.3371984907155736
22,186029977000.0,1.25819227426007,1.3388680717106856
23,190925503000.0,1.2615088105502659,1.3420605983926024
24,195821028000.0,1.2643003264415227,1.344407491149901
25,200716554000.0,1.2671341262573212,1.3467807092780004
26,205612080000.0,1.2699081253442879,1.3490277079771509
27,210507606000.0,1.2733637705160312,1.352240085168845
28,215403131000.0,1.2756743117525273,1.3537477717114959
29,220298657000.0,1.2795460069214852,1.3574815989598394
30,225194183000.0,1.2833232501941394,1.3610292660484582
31,230089708000.0,1.286333917651337,1.3634512823726208
32,234985234000.0,1.2894706291080051,1.3660232543431035
33,239880760000.0,1.2921283035046724,1.3679081004555105
34,244776286000.0,1.2976769404634838,1.373753745760618
35,249671811000.0,1.3007859311792207,1.37619834888443
36,254567337000.0,1.3061755751492854,1.3817126104830577
37,259462863000.0,1.3124945038724825,1.3884103719686758
38,264358388000.0,1.3060237728678268,1.3779745321391523
39,269253914000.0,1.3159348455612065,1.3894021711197309
40,274149440000.0,1.3192784041718986,1.3920574645073163
41,279044965000.0,1.3239626035984582,1.3964502770738418
42,283940491000.0,1.3264567625280321,1.3979640284540784
43,288836017000.0,1.3290294760341212,1.3995850250852642
44,293731543000.0,1.3352600096343714,1.405890314109634
45,298627068000.0,1.339569409330837,1.4096958314397876
46,303522594000.0,1.3453257464201678,1.4153066649779313
47,308418120000.0,1.3524755430921427,1.4226256215297919
48,313313645000.0,1.348446719492675,1.4159200465578636
49,318209171000.0,1.3564786046601556,1.4243000712978875
50,323104697000.0,1.365514962516518,1.4338505627440263
51,328000223000.0,1.3653104637273286,1.4319715402340316
52,332895748000.0,1.3717406549339544,1.4382442940020688
53,337791274000.0,1.376736494972092,1.4427349710557604
54,342686800000.0,1.3806507636023122,1.4458977929373333
55,347582325000.0,1.3869017513111823,1.4518658523877037
56,352477851000.0,1.3879675337959057,1.451588531572642
57,357373377000.0,1.396203726466289,1.4598937896858235
58,362268903000.0,1.4041332406764957,1.4677822042661681
59,367164428000.0,1.4090942762307908,1.4721216204873635
60,372059954000.0,1.4135539630579175,1.4758570540610794
61,376955480000.0,1.418606364986589,1.4802805221953672
62,381851005000.0,1.4220325625519397,1.482796755884961
63,386746531000.0,1.4284569096997375,1.488801014362311
64,391642057000.0,1.4331084022314315,1.492729984083617
65,396537583000.0,1.4368592811535352,1.4956148106829017
66,401433108000.0,1.4437658004145728,1.502127913282171
67,406328634000.0,1.4506341625626575,1.5085763752074133
68,411224160000.0,1.4589010480559546,1.5165981614187076
69,416119685000.0,1.4656260852276783,1.5228415282411036
70,421015211000.0,1.4767324973200417,1.5340337539604245
71,425910737000.0,1.4790653015741113,1.5352616671518162
72,430806262000.0,1.4877919406379052,1.5437078537262767
73,435701788000.0,1.4918477486408068,1.5468766260500741
74,440597314000.0,1.5018021051913129,1.556656441343717
75,445492840000.0,1.507925080442269,1.5621198386219228
76,450388365000.0,1.512727421254365,1.5660921469528262
77,455283891000.0,1.521226731239661,1.5741706659673147
78,460179417000.0,1.5299427664424465,1.5824794303252303
79,465074942000.0,1.535019624080996,1.586747678123641
80,469970468000.0,1.5435102532917218,1.5947871631741903
81,474865994000.0,1.5295198905939351,1.578114559213908
82,479761520000.0,1.5366270494712135,1.5846724663406195
83,484657045000.0,1.5412750533687458,1.588514810845147
84,489552571000.0,1.5439392496820417,1.5901889158627749
85,494448097000.0,1.5506927315048487,1.596339599099456
86,499343622000.0,1.5591056696861143,1.6042705364649774
