,freq,0deg,90deg
0,78328411400.0,1.39803848,1.28760362
1,83223937100.0,1.40947166,1.29757875
2,88119462800.0,1.40645664,1.2955672
3,93014988500.0,1.40344772,1.29579807
4,97910514200.0,1.40840022,1.29839237
5,102806040000.0,1.40155161,1.29441944
6,107701566000.0,1.4027667,1.29310438
7,112597091000.0,1.40435033,1.29577019
8,117492617000.0,1.40429207,1.29725976
9,122388143000.0,1.40946215,1.30344603
10,127283668000.0,1.41159001,1.30619443
11,132179194000.0,1.41632993,1.306739
12,137074720000.0,1.41697074,1.30859179
13,141970246000.0,1.41994825,1.31098209
14,146865771000.0,1.42104841,1.31496838
15,151761297000.0,1.42080087,1.31781956
16,156656823000.0,1.42517953,1.32119241
17,161552348000.0,1.42874044,1.32494886
18,166447874000.0,1.43084428,1.33060762
19,171343400000.0,1.43428699,1.33617173
20,176238926000.0,1.43969707,1.34029471
21,181134451000.0,1.44253374,1.34369636
22,186029977000.0,1.44947233,1.34714604
23,190925503000.0,1.43832255,1.35082771
24,195821028000.0,1.44389253,1.35596891
25,200716554000.0,1.44853779,1.36205368
26,205612080000.0,1.45055391,1.36466912
27,210507606000.0,1.45191925,1.36207329
28,215403131000.0,1.45838886,1.37367192
29,220298657000.0,1.4602421,1.38396283
30,225194183000.0,1.46479952,1.37787044
31,230089708000.0,1.4682185,1.38541092
32,234985234000.0,1.47198862,1.39648669
33,239880760000.0,1.4773966,1.38593805
34,244776286000.0,1.48212025,1.39964508
35,249671811000.0,1.50572302,1.40863423
36,254567337000.0,1.46273129,1.41422359
37,259462863000.0,1.46870655,1.41252667
38,264358388000.0,1.50534822,1.4273798
39,269253914000.0,1.51548012,1.42834358
40,274149440000.0,1.46586284,1.42916794
41,279044965000.0,1.46653329,1.42898652
42,283940491000.0,1.46149439,1.43144433
43,288836017000.0,1.46329551,1.4336334
44,293731543000.0,1.47112019,1.43789965
45,298627068000.0,1.4751321,1.44443968
